Time,Target Status Z0,Distance Z0,Target Status Z1,Distance Z1,Target Status Z2,Distance Z2,Target Status Z3,Distance Z3,Target Status Z4,Distance Z4,Target Status Z5,Distance Z5,Target Status Z6,Distance Z6,Target Status Z7,Distance Z7,Target Status Z8,Distance Z8,Target Status Z9,Distance Z9,Target Status Z10,Distance Z10,Target Status Z11,Distance Z11,Target Status Z12,Distance Z12,Target Status Z13,Distance Z13,Target Status Z14,Distance Z14,Target Status Z15,Distance Z15
0.369139,6,2095,6,2115,6,2088,6,2054,6,2178,6,2146,6,2111,6,1154,6,2214,6,2183,6,2150,6,1154,6,2262,6,2217,6,2194,6,2173
0.459107,9,2104,5,2114,5,2090,5,2063,5,2176,5,2147,5,2110,5,1150,5,2217,5,2187,5,2150,5,1156,5,2269,5,2221,5,2196,5,2172
0.549074,5,2101,5,2118,5,2091,5,2064,5,2175,5,2146,5,2109,5,1156,5,2223,5,2180,5,2151,5,1157,5,2271,5,2220,5,2201,5,2166
0.639041,9,2102,5,2123,5,2086,5,2063,5,2176,5,2148,5,2111,5,1152,5,2222,5,2186,5,2151,5,1157,5,2267,5,2225,5,2197,5,2167
0.729009,9,2100,5,2114,5,2090,5,2064,5,2178,5,2144,5,2112,5,1151,5,2216,5,2183,5,2149,5,1154,5,2262,5,2218,5,2195,5,2178
0.818976,5,2106,5,2113,5,2091,5,2057,5,2182,5,2149,5,2111,5,1151,5,2221,5,2189,5,2153,5,1155,9,2272,5,2225,5,2195,5,2174
0.908943,9,2097,5,2120,5,2089,5,2057,5,2180,5,2150,5,2109,5,1157,5,2222,5,2186,5,2153,5,1158,9,2269,5,2227,5,2197,5,2169
0.998911,9,2103,5,2124,5,2087,5,2065,5,2182,5,2151,5,2115,5,1151,5,2221,5,2185,5,2150,5,1157,5,2269,5,2222,5,2195,5,2173
1.088878,9,2100,5,2115,5,2092,5,2054,5,2172,5,2144,5,2111,5,1153,5,2221,5,2186,5,2151,5,1156,5,2267,5,2226,5,2198,5,2171
1.178846,9,2108,5,2115,5,2085,5,2066,5,2175,5,2150,5,2111,5,1154,5,2224,5,2190,5,2151,5,1156,9,2268,5,2230,5,2195,5,2171
1.268813,9,2106,5,2120,5,2090,5,2053,5,2177,5,2149,5,2110,5,1155,5,2216,5,2190,5,2149,5,1157,9,2266,5,2230,5,2194,5,2170
