Timestamp;Cell_0;Cell_1;Cell_2;Cell_3;Cell_4;Cell_5;Cell_6;Cell_7;Cell_8;Cell_9;Cell_10;Cell_11;Cell_12;Cell_13;Cell_14;Cell_15
1771682274.646;2262;2235;2196;2194;2174;2168;2147;2289;2278;2257;2235;2231;2209;2214;2187;2089
1771682274.749;2218;2204;2205;2189;2165;2164;2309;2268;2256;2240;2227;2209;2198;2196;2059;2074
1771682274.842;2201;2207;2178;2183;2170;2297;2267;2250;2232;2221;2226;2198;2190;2053;2066;2123
1771682274.944;2191;2188;2154;2164;2310;2256;2250;2239;2206;2205;2197;2202;2103;2101;2110;2105
1771682275.046;2181;2184;2175;2296;2284;2273;2234;2216;2218;2204;2203;2030;2087;2113;2115;2101
1771682275.138;2177;2167;2282;2291;2277;2227;2242;2244;2207;2197;2056;2076;2119;2106;2108;2074
1771682275.242;2159;2326;2295;2261;2244;2227;2209;2211;2212;2082;2097;2116;2109;2092;2064;2060
1771682275.346;2320;2273;2264;2245;2206;2212;2202;2204;2500;2077;2106;2122;2109;2104;2085;2075
1771682275.440;2313;2278;2268;2227;2229;2210;2206;2203;2108;2114;2114;2105;2090;2078;2075;2041
1771682275.537;2262;2260;2238;2228;2216;2186;2191;2103;2095;2129;2106;2104;2066;2058;2041;2145
1771682275.644;2261;2242;2219;2202;2174;2227;2042;2098;2132;2108;2085;2076;2070;2050;2168;2157
1771682275.738;2232;2204;2196;2210;2201;2062;2116;2128;2113;2089;2074;2063;2052;2129;2159;2122
1771682275.843;2236;2204;2191;2203;2075;2097;2129;2108;2097;2073;2056;2050;2147;2140;2153;2133
1771682275.937;2219;2201;2205;2098;2116;2118;2112;2087;2079;2067;2042;2141;2159;2151;2116;2110
1771682276.041;2209;2200;2052;2107;2116;2104;2100;2084;2082;2061;2155;2164;2149;2133;2109;2090
1771682276.134;2201;2054;2062;2123;2110;2098;2071;2068;2044;2137;2152;2133;2140;2112;2089;2092
1771682276.238;2075;2097;2134;2102;2094;2086;2066;2051;2154;2158;2133;2127;2094;2110;2096;2089
1771682276.341;2083;2092;2128;2117;2098;2078;2055;2055;2141;2160;2137;2145;2105;2087;2095;2085
1771682276.434;2126;2134;2111;2102;2074;2052;2040;2147;2161;2148;2133;2114;2094;2097;2089;2173
